date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:15	305/305	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:40%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/ye.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/ye.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:15	324/324	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:56%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/yt.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/yt.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:15	312/312	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:40%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/yt.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/yt.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:16	1085/1085	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:56%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/za.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/za.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:16	1031/1031	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:38%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/za.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/za.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:16	8189/8189	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:56%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/zm.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/zm.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:00	10903/10903	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:38%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/zw.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/zw.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:01	265/265	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:45:48%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/es-ct.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/es-ct.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:01	264/264	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:38%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/es-ct.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/es-ct.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:02	1305/1305	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:45:46%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/eu.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/eu.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
